Cars,Trucks,Motorcycles,Buses,Car_Weight(kg),Truck_Weight(kg),Motorcycle_Weight(kg),Bus_Weight(kg),Avg_Speed(m/s),Avg_Weight(kg),Incident_Count,Surface Roughness (m/km),Road Age (years),temperature(°C)_x,rainfall(mm)_x,humidity(%)_x,wind_speed(m/s)_x,average_temperature(°C)_x,weather_condition_x,Wear_Index
148,82,88,49,3784,13968,378,2634,18.90728119132965,2316.010131256628,2,3.61923712112356,10,12.168460961068645,11.9181969835383,63.7819388774455,17.149215665897316,33.6741854288028,Stormy,125.56408812371345
1873,213,67,10,3946,7595,433,7442,18.17837355546175,1080.1532203497825,4,4.290357769039728,22,16.860480142731365,12.263354711233692,45.14537243650992,14.718030102078538,17.502279464926357,Pleasant,1022.2505572833952
248,278,430,1,2342,8486,481,2711,11.46415294602187,2010.140409255685,5,3.742436341619081,19,19.251912836355253,6.302908942398977,41.50464969650243,3.3183366618188668,23.936708517292963,Clear skies,298.24591430759654
439,42,291,17,4014,9564,242,6265,13.330555874878666,1978.2830996013915,0,3.507510697984092,47,39.7123904409801,15.404674726950187,70.12466279872925,29.13232327741881,21.937880527099715,Clear skies,294.5428412954232
798,90,233,36,4134,9424,280,7170,20.7647180674158,1011.0644100539812,6,3.639855879461001,37,25.57194968516105,5.071311533707239,62.12355946391272,7.219284168815533,21.59462965091088,Stormy,472.6246644575017
1312,106,480,29,2831,7467,406,2172,18.6042133961827,2255.291523850313,5,4.215328495064961,49,33.11697892947802,10.347547153955611,88.59590379313067,29.182757332667357,30.03567886506549,Stormy,792.9578294012307
1826,45,73,40,2539,7843,472,8617,15.526158855173776,1048.9755298245916,0,3.555231199468337,47,27.85685055330895,14.407561502999467,47.27272177218753,0.1342667269002284,29.79081119503275,Stormy,947.3816703061324
418,273,256,0,3454,9410,305,9094,22.695028023903525,2619.0800348987223,5,5.377393846743094,16,31.67760990373124,17.37463511164644,58.64298020854567,9.357792383248468,19.06341617003197,Pleasant,347.4428526259282
757,258,466,38,3916,7885,426,6960,5.117403863342014,2011.8273929871264,9,5.553086699592805,6,29.97905539006472,0.988249919641606,49.78366775464569,2.233291419810234,15.771225824380888,Rainy,550.8766325028292
1554,235,450,34,4032,8479,377,4588,20.428897827837982,1537.9141611315374,2,4.94974071708029,42,35.57688299896276,17.439545221062865,90.5578547627812,26.469449339902592,28.41137199153916,Rainy,945.6968326478732
524,144,198,8,4207,5371,378,9441,18.685656896172556,1914.8225645160712,1,3.998843448703688,5,18.4268850379851,11.081798580751975,92.70617673495676,13.470268247237978,16.046114956455064,Stormy,349.4936957474498
563,35,116,26,2552,9963,480,2421,23.797491771376222,2949.79826086626,0,2.981179250923817,12,29.209708753475155,15.372180230682751,86.3587199557031,24.45938627392925,31.302583313290512,Rainy,322.11791600244067
1318,200,60,9,3989,12757,460,4025,19.49747057005819,2753.980382785199,6,5.140293320481643,25,37.28866333682057,11.643063600068828,82.79808159486953,14.705965968678123,32.183744918145635,Stormy,734.3607381232356
324,148,352,1,4536,9089,124,7794,12.70122730410765,1770.7028981239075,8,3.605525707263533,9,28.617915039164988,18.5480159058167,48.81443597140499,21.23791670924018,24.92897986504137,Rainy,279.85539218638525
181,219,251,49,3076,6443,126,4080,14.32352377224981,1823.447261308228,7,3.749912070213387,37,23.80383023899114,16.545104178310915,61.23570891155927,2.1049306762478928,27.34647021381984,Clear skies,209.41641095610748
632,240,413,10,1921,14045,416,3856,5.081444314913101,2038.817288423077,1,3.578704126526626,16,39.0606983164318,0.4006279442265192,48.97696470001762,27.202127710158983,15.432292275940725,Pleasant,472.59300826934026
664,231,141,42,4388,12511,492,3231,18.50558525143469,1823.2806751433584,2,5.402350225812464,17,19.45229303145728,2.626425880218679,86.53572862084528,10.220909813306488,18.17538204364196,Rainy,429.96525701046096
1890,201,370,47,3759,5334,419,4533,8.369658604180088,1579.9407536667634,4,4.681950346692451,9,38.29501881695225,2.447955502900529,41.125094833531385,5.309215875035975,32.84547551918483,Stormy,1084.3792887242869
1268,288,230,0,3544,12193,342,3550,15.194514894400037,1492.7549294908226,2,3.0604368493064644,11,15.176664844102596,11.797964210679996,70.69606120492236,22.976704733804382,34.711018549790616,Clear skies,767.6032619265825
1241,65,180,39,4437,5380,462,8575,6.906834698845154,1968.6122318754608,5,3.029977946953064,17,21.07304315331277,16.63236010526431,93.20682317858534,17.057745983718675,27.5753807084119,Pleasant,676.253897321545
1633,197,180,43,4774,14599,276,9278,15.85190518272449,2821.192875417197,3,5.731762201910467,9,32.33056602931187,8.841287666417244,80.69906824938215,4.524535889961361,19.455845062492106,Pleasant,918.2579556587626
1716,255,246,31,4420,14408,493,3986,20.351236089101157,2242.635834329661,4,5.692345622027938,20,23.82101166555969,9.946624899844185,46.81644309085292,8.96256519669623,34.212976659418864,Pleasant,992.587229217567
1706,192,165,2,4306,5135,321,5136,21.777369551309054,1393.7832317976122,4,5.814160007067192,36,36.00199670812872,9.599933972318912,81.72656734231248,2.917987885038888,25.8332513811306,Clear skies,952.5558752678506
554,244,464,33,2339,5965,394,7371,10.509916143022068,1831.8717678846183,0,5.955584176369952,25,19.236232158870106,4.847904964128742,87.11164768124816,5.616785040576703,19.93398456151946,Pleasant,452.28516366840097
1818,84,76,47,2230,8127,149,5724,14.833621089049988,1698.5603748613698,9,3.463480069023845,45,33.01252942353784,4.1035234015232,92.98325514441083,13.688250852955372,21.401431605889503,Stormy,956.3471206940976
883,239,438,4,3907,11420,291,4958,22.671884952289464,2117.2647186920126,9,4.9173734175151385,39,29.958225770536703,6.122374264231414,58.19577801066821,25.32621110084796,20.572295148917032,Rainy,602.0655713112812
1907,146,324,45,2290,10792,364,6166,11.68250813576259,2854.309964520109,8,3.468143319429978,41,14.79263342993764,1.281270040935163,99.78167025819025,29.19943785531159,21.16087528712615,Pleasant,1071.0594270891024
366,250,349,30,3755,6658,232,3746,16.488317301766845,2426.3334262929857,4,5.154241194413773,48,19.640569983094736,1.9662881501570693,86.72956827335574,16.63283751260612,21.478464635604205,Pleasant,335.553684394328
1091,64,92,2,4716,10178,190,5582,15.094479221433987,2260.606890812165,6,5.137571787322545,21,31.33705361522161,7.204010711678672,57.48334368940921,12.064610395391004,29.413338322337893,Clear skies,589.9394349231366
1433,258,243,3,4037,5467,475,6201,22.68887688915064,1578.226615765637,1,4.546080076906312,4,19.39440959417714,0.2107551212066938,55.81077876011644,28.676986161080663,29.36915898950612,Pleasant,851.0466160771555
1235,206,341,27,2158,9414,308,9415,15.68674691356778,1167.789146356222,7,3.032170260788918,45,21.007838710552683,12.822892545272628,89.59908561889952,19.303681855243028,15.264349633391838,Pleasant,748.728317188167
1250,254,267,10,4768,10345,440,8555,7.84993300562048,2390.560219099097,3,3.037238483526325,21,12.529520243228518,1.240338843684059,53.21314888297746,1.636008628624548,31.3592953349385,Clear skies,759.5326249138182
1163,159,191,10,4753,10216,176,8490,16.31348268749073,1039.9070700276127,8,5.635840888530123,6,15.292591089439778,9.599538601810533,67.41548078887264,27.19944224526673,29.659919400609517,Clear skies,671.3151497471885
1522,5,137,15,1121,8966,367,7524,15.330305630474676,2311.751115733552,5,5.287361807942979,34,27.092382811644075,11.14227559563095,79.03773076197103,16.245186872676307,15.904689165456322,Clear skies,793.6594559077741
1092,274,444,7,1061,5543,315,4434,7.049190098184752,2564.7051939200323,2,2.931927457774865,23,14.30212487990323,0.4302134857882334,44.90764740093742,3.632407840821308,20.94596486578581,Stormy,722.6641316763295
374,282,435,9,3929,14937,345,8806,24.05971871166598,2597.092760074059,9,5.592080799885993,21,11.27487057504988,2.4140143429805683,52.96849380672805,15.148251197946694,31.012726461856712,Pleasant,359.6391383912988
848,253,315,31,4239,8538,263,7532,17.786722679987,2224.2673251722385,5,2.521893824151651,45,38.026100675204056,7.39827770249711,94.21676248068714,10.95130475617982,23.82336590233554,Pleasant,565.2947658468969
338,86,139,33,1574,9605,182,4042,22.91326142253012,1038.803076036505,1,5.787154641447076,10,31.11114261491477,10.285320827418206,73.14211296002605,1.1139315215015555,34.3899350154494,Stormy,225.72587505760023
302,151,109,19,1444,7957,471,7519,6.194458315426552,2726.603633356336,2,3.5812349689857514,7,13.302372285890012,1.5462319138660652,62.81484567711787,12.944614376586223,22.198783368779797,Clear skies,222.1716652594049
914,190,384,41,3301,6088,204,8434,18.476402234511816,1294.53440341716,4,5.007946634279824,21,37.26266850922779,9.494527046842991,95.72882102028537,12.96552896760392,31.08877553859265,Rainy,597.7628325784764
457,237,184,28,4936,5849,355,5294,14.151092219911694,2747.3549940720363,9,2.7296510622625663,11,20.98485395830452,15.558542480850589,43.60032860303511,26.097807067878627,19.6749213313111,Rainy,339.7438592025954
745,97,423,9,4347,10652,138,8905,13.301931859214209,2808.0819993396844,5,5.0096934079221,48,17.40043184247145,14.87969406036121,93.99042969595156,14.895037629766737,33.909502596053315,Clear skies,487.3914726266776
1989,65,358,11,2491,14585,387,6547,8.425127719751476,2819.4440367811003,9,3.6471112198442976,20,15.420179505816822,10.033104185523108,43.188224427947226,26.258542139332334,16.20946389338727,Clear skies,1090.3578414831786
705,5,485,40,2168,9243,447,2670,19.839488171719243,1385.2538730724982,3,3.8271525292705504,8,25.06930502108403,19.645249019349905,75.10052759528881,19.92260100205542,16.851540417695784,Stormy,454.7412193204456
1955,111,299,16,1948,14082,488,2050,18.808698514020804,2015.2976028393944,7,4.935113673989313,35,30.935685411578124,9.615340379343031,52.73297069702391,8.428316923426081,16.71103615895955,Rainy,1072.483794656419
1487,112,369,20,3818,9445,425,2986,5.53044337653763,1232.4019964821273,0,4.014479833625158,18,17.35302875786309,2.206214861037259,87.53431179118886,12.06661468651722,21.72724059163332,Pleasant,856.6434601562163
321,230,145,21,2209,10417,445,2836,14.37472833271112,1411.984114064065,2,5.12564223119825,1,19.12937015478929,16.56104907415084,75.65972916741532,6.615506064035608,23.39212133565729,Clear skies,266.30659720207944
986,220,169,16,4508,7527,466,3791,18.34206254588182,2627.544625145828,9,3.1904281669474144,49,36.75018750382153,19.422398757499334,61.88999259672164,17.75692664462894,21.704540925581725,Clear skies,597.9633258692944
1551,236,483,37,1252,5924,150,3131,23.911771188887062,1284.235083698708,5,4.666270689398604,8,11.277967090527936,1.448628221096986,60.32239414006318,2.05638918404633,21.451636541909373,Pleasant,945.1869785942814
1019,43,264,41,2368,8309,268,6729,10.670302522138815,2018.1904916940664,3,5.580488694440326,38,19.668141647946698,7.765348157563459,72.92332036257719,13.290667115925263,15.239131362687466,Stormy,584.8056600625723
392,0,424,46,2054,10686,480,2236,5.808521175511423,2373.2823268254037,1,4.44776403470585,27,17.357657778226418,16.147808259062632,49.05961368050478,4.700573894091068,16.88840669495231,Pleasant,285.29942578816605
837,219,431,14,1259,5030,429,5003,14.183969896967977,1116.077114923056,5,5.289546076917024,17,27.15988458307981,8.268697328195485,94.12624168772436,29.80229635911874,26.887622058049736,Clear skies,580.0757560807169
848,247,495,16,1014,6138,258,5171,12.134694324481124,1016.9874289746568,9,3.4133390099061005,34,13.268799249912345,1.0633677082034731,74.54854056924475,17.259819166096765,34.03478974116839,Clear skies,601.5614810529254
248,19,280,38,4606,6937,392,8634,11.175302687043477,1096.420017443444,6,3.500112945355788,44,32.05811323272151,11.92859905842062,68.48450808304476,10.803718152573053,18.807645306396797,Clear skies,189.1476008925625
172,148,174,5,4804,6692,322,5051,5.88546161911899,2900.089805331969,3,5.544831653054276,41,28.167065451276,10.159713521782516,98.84061322894831,18.54617995055872,15.406878331274113,Clear skies,172.55576277341592
396,283,446,35,4282,13297,452,5565,21.518918936701013,1519.614447235736,8,2.5836886883761165,16,19.060007493045784,12.77313594608023,89.49066295738535,7.06685260111056,32.02363794142957,Rainy,376.58984166422346
1860,91,288,44,3043,7928,473,7027,7.374938613363504,2578.2740466534606,6,4.617589495670604,16,39.07173494242956,16.88645388580926,92.62242889303216,19.435102206531543,28.19950713808696,Clear skies,1023.9819941977468
1484,11,319,5,2093,8079,108,6952,12.232918627409315,1521.7318164270564,3,3.5822696877215434,44,24.77312682191924,14.854212243453215,52.0575645776362,19.061421919652712,18.21268683058828,Rainy,815.7188178441987
